Beetle mspp. #,Mssp. name,Tree Host,Season,Individuals,Tree Code?
P95_1,Big black,EC,Rainy,1,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_2,Red_dark head,LP,Dry,12,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_3,Black 2-prong,LP,Dry,8,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_4,Two-hole pronotum,LP,Dry,20,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_5,Hyaline elytra,LP,Dry,11,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_6,Scape-up dashes,LP,Dry,22,
P95_7,Scape-up prongs,EC,Dry,1,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_7,Scape-up prongs,LP,Dry,26,
P95_8,Two-hole closer pronotum,LP,Dry,4,
P95_8,Two-hole closer pronotum,LP,Dry,4,
P95_8,Two-hole closer pronotum,LP,Dry,4,
P95_8,Two-hole closer pronotum,LP,Dry,4,
P95_9,Attenuated apex,EC,Rainy,6,
P95_9,Attenuated apex,EC,Rainy,6,
P95_9,Attenuated apex,EC,Rainy,6,
P95_9,Attenuated apex,EC,Rainy,6,
P95_9,Attenuated apex,EC,Rainy,6,
P95_9,Attenuated apex,EC,Rainy,6,
P95_10,Attenuated shiny pronotum,EC,Dry,2,
P95_10,Attenuated shiny pronotum,EC,Dry,2,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_10,Attenuated shiny pronotum,LP,Dry,10,
P95_11,Attenuated straight pronotum,EC,Dry,1,
P95_12,Puncture field pronotum,LP,Dry,1,
P95_16,Hyaline elytra small,LP,Dry,1,
P95_17,Round apex_no face pit,EC,Rainy,1,
P95_18a,Round apex_face pit_large,EC,Rainy,1,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,LP,Dry,35,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18b,Round apex_face pit_medium,EC,Rainy,28,
P95_18c,Round apex_face pit_smaller,EC,Dry,2,
P95_18c,Round apex_face pit_smaller,EC,Dry,2,
P95_18c,Round apex_face pit_smaller,EC,Rainy,3,
P95_18c,Round apex_face pit_smaller,EC,Rainy,3,
P95_18c,Round apex_face pit_smaller,EC,Rainy,3,
P95_18d,Round apex_face pit_deep point pronotum,EC,Dry,1,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_19,T-groove pronotum ragged apex,LP,Dry,30,
P95_20a,Club-down prongs small,LP,Dry,1,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_20b,Club-down prongs larger,LP,Dry,8,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,LP,Dry,26,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_21,Red narrow apex,EC,Rainy,35,
P95_22,Red narrow apex small,EC,Rainy,1,